_id,WEIGHT,TIMESTAMP,TYPE,SYNC,SYNC_QQHEALTH,TIME_ZONE,FAT_PERCENTAGE,SOURCE,IMPEDANCE,BMI,HEIGHT,BODY_FAT,MUSCLE,BODY_SHAPE_TYPE,MOISTURE,BASAL_METABOLISM,VISCERAL_FAT,BONE_MASS,SCORE,DEVICE_ID,USER_ID
1454551766000,69.9000015258789,1454551766000,0,1,,,,101,,,,,,,,,,,,,-1
1454591698000,69.9000015258789,1454591698000,0,1,,,,101,,,,,,,,,,,,,-1
1454633265000,70.30000305175781,1454633265000,0,1,,,,101,,,,,,,,,,,,,-1
1454717311000,70,1454717311000,0,1,,,,101,,,,,,,,,,,,,-1
1454787964000,70.69999694824219,1454787964000,0,1,,,,101,,,,,,,,,,,,,-1
1454868464000,71.69999694824219,1454868464000,0,1,,,,101,,,,,,,,,,,,,-1
1454950643000,71.9000015258789,1454950643000,0,1,,,,101,,,,,,,,,,,,,-1
1454986361000,71.30000305175781,1454986361000,0,1,,,,101,,,,,,,,,,,,,-1
1455036952000,71.4000015258789,1455036952000,0,1,,,,101,,,,,,,,,,,,,-1
1455073129000,70.30000305175781,1455073129000,0,1,,,,101,,,,,,,,,,,,,-1
1455124668000,70.5999984741211,1455124668000,0,1,,,,101,,,,,,,,,,,,,-1
1455158248000,69.9000015258789,1455158248000,0,1,,,,101,,,,,,,,,,,,,-1
1455212052000,71.4000015258789,1455212052000,0,1,,,,101,,,,,,,,,,,,,-1
1455237356000,71.30000305175781,1455237356000,0,1,,,,101,,,,,,,,,,,,,-1
1455301287000,71,1455301287000,0,1,,,,101,,,,,,,,,,,,,-1
1455304264000,70.9000015258789,1455304264000,0,1,,,,101,,,,,,,,,,,,,-1
1455348199000,69.69999694824219,1455348199000,0,1,,,,101,,,,,,,,,,,,,-1
1455365720000,70.19999694824219,1455365720000,0,1,,,,101,,,,,,,,,,,,,-1
1455389547000,71.0999984741211,1455389547000,0,1,,,,101,,,,,,,,,,,,,-1
1455452404000,71,1455452404000,0,1,,,,101,,,,,,,,,,,,,-1
1455475224000,71.5,1455475224000,0,1,,,,101,,,,,,,,,,,,,-1
1455504678000,70.80000305175781,1455504678000,0,1,,,,101,,,,,,,,,,,,,-1
1455555815000,71.69999694824219,1455555815000,0,1,,,,101,,,,,,,,,,,,,-1
1455592155000,70.19999694824219,1455592155000,0,1,,,,101,,,,,,,,,,,,,-1
1455649112000,71.19999694824219,1455649112000,0,1,,,,101,,,,,,,,,,,,,-1
1455679766000,70.69999694824219,1455679766000,0,1,,,,101,,,,,,,,,,,,,-1
1455730326000,71,1455730326000,0,1,,,,101,,,,,,,,,,,,,-1
